transaction_id,customer_id,account_number,transaction_type,transaction_mode,transaction_category,transaction_amount,currency,transaction_status,transaction_datetime,value_date,merchant_id,merchant_name,merchant_category_code,location,geo_latitude,geo_longitude,device_id,device_type,ip_address,browser_info,channel,bank_branch_code,initiated_by,reference_number,authorization_code,reversal_flag,parent_transaction_id,remarks,transaction_fee,gst_amount,net_amount,fraud_flag,risk_score,created_at,updated_at,created_by,updated_by
95792910-7aa6-489f-b452-4b42bbc99c07,CUST1000,ACC10000000,refund,UPI,shopping,37420.43,INR,Declined,2025-05-12T18:05:21.856889,2025-05-13T18:05:21.856889,M456,Flipkart,5830,Mumbai,23.442199,87.073997,81a8632c,iOS,192.168.211.39,Mozilla/5.0,POS,BR706,customer,7493487b-6b4,850878,true,,Sample transaction,374.2,67.36,36978.87,false,31,2025-05-12T18:05:21.856889,2025-05-25T18:05:21.857033,system,system
dad57211-fa0a-4951-bc38-92f37a58f077,CUST1001,ACC10000001,credit,Card,transfer,34567.43,EUR,Success,2025-01-17T18:05:21.857081,2025-01-18T18:05:21.857081,M789,Reliance Mart,5982,Mumbai,23.426214,75.11848,1714003d,iOS,192.168.163.131,Mozilla/5.0,Web,BR612,customer,9e77dfff-d10,375234,false,,Sample transaction,345.67,62.22,34159.54,true,62,2025-01-17T18:05:21.857081,2025-05-25T18:05:21.857194,system,system
b3a78250-6c30-46bb-a11d-b16704becff2,CUST1002,ACC10000002,refund,Card,fuel,38212.16,EUR,Declined,2025-05-13T18:05:21.857240,2025-05-14T18:05:21.857240,M123,Amazon,5626,Delhi,16.509342,81.890849,f3638b79,Windows,192.168.99.82,Mozilla/5.0,ATM,BR720,bank,91222367-ff0,428507,true,,Sample transaction,382.12,68.78,37761.26,true,32,2025-05-13T18:05:21.857240,2025-05-25T18:05:21.857366,system,system
31d247d4-b27d-4f79-bcce-e938a65d633b,CUST1003,ACC10000003,debit,Card,salary,18499.06,INR,Success,2024-12-18T18:05:21.857417,2024-12-19T18:05:21.857417,M456,Flipkart,5368,Kolkata,23.552021,81.258264,1e2d408c,iOS,192.168.217.142,Mozilla/5.0,POS,BR773,bank,1ca6ca02-178,397698,true,,Sample transaction,184.99,33.3,18280.77,false,1,2024-12-18T18:05:21.857417,2025-05-25T18:05:21.857511,system,system
a5e618b2-a564-4d9f-806d-9670f966ea7f,CUST1004,ACC10000004,refund,Cheque,shopping,40612.49,INR,Failed,2025-02-26T18:05:21.857554,2025-02-27T18:05:21.857554,M456,Flipkart,5290,Delhi,12.179566,79.704867,fce8b531,iOS,192.168.175.47,Mozilla/5.0,ATM,BR182,merchant,b2bf7a42-a30,899576,true,,Sample transaction,406.12,73.1,40133.27,false,49,2025-02-26T18:05:21.857554,2025-05-25T18:05:21.857649,system,system
00f7009b-3eb7-42ef-8af5-63646faa22cd,CUST1005,ACC10000005,credit,Cheque,shopping,48125.91,EUR,Pending,2025-04-03T18:05:21.857685,2025-04-04T18:05:21.857685,M123,Amazon,5210,Chennai,13.726849,81.701982,922bb4b6,Linux,192.168.108.235,Mozilla/5.0,Web,BR826,bank,46a793de-a39,235107,true,,Sample transaction,481.26,86.63,47558.020000000004,true,10,2025-04-03T18:05:21.857685,2025-05-25T18:05:21.857760,system,system
12765404-09af-458c-88ef-a7447fef2a5d,CUST1006,ACC10000006,refund,Net Banking,fuel,14878.01,INR,Pending,2025-04-01T18:05:21.857795,2025-04-02T18:05:21.857795,M456,Flipkart,5112,Chennai,22.33679,86.244085,76f2fdb1,Android,192.168.48.88,Mozilla/5.0,POS,BR473,bank,033a0e88-07c,684014,true,,Sample transaction,148.78,26.78,14702.449999999999,false,74,2025-04-01T18:05:21.857795,2025-05-25T18:05:21.857889,system,system
130a0240-c450-4895-86e9-6d458812f29e,CUST1007,ACC10000007,reversal,QR,salary,47603.23,USD,Success,2025-04-11T18:05:21.857933,2025-04-12T18:05:21.857933,M123,Amazon,5773,Mumbai,23.154248,73.837869,5f2a9ad4,Linux,192.168.65.148,Mozilla/5.0,Mobile,BR571,merchant,476138e3-531,678397,false,,Sample transaction,476.03,85.69,47041.51,false,1,2025-04-11T18:05:21.857933,2025-05-25T18:05:21.857998,system,system
37279be4-c663-41a7-a15f-3c711612ee3a,CUST1008,ACC10000008,reversal,QR,loan,7450.48,EUR,Success,2024-12-21T18:05:21.858034,2024-12-22T18:05:21.858034,M789,Reliance Mart,5139,Bangalore,14.44894,76.849779,4d9a95db,Windows,192.168.96.168,Mozilla/5.0,ATM,BR654,merchant,adf6c72b-3dc,705038,true,,Sample transaction,74.5,13.41,7362.57,true,40,2024-12-21T18:05:21.858034,2025-05-25T18:05:21.858116,system,system
5a9b07d6-b72f-40e8-aeac-c1f786990667,CUST1009,ACC10000009,refund,Card,loan,43373.58,INR,Success,2025-05-24T18:05:21.858157,2025-05-25T18:05:21.858157,M123,Amazon,5847,Kolkata,15.311069,79.63754,7ecc5487,iOS,192.168.238.148,Mozilla/5.0,Web,BR231,merchant,9ca2349d-fcd,667828,false,,Sample transaction,433.74,78.07,42861.770000000004,true,34,2025-05-24T18:05:21.858157,2025-05-25T18:05:21.858257,system,system
